//Loading PDBs.
//PDB loading of cell: NEURON
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
126                      2.88e-17   2.69e-17   9.36e-01    NEURON  126      XI5/XI7/XI2/XI7/NET7  
127                      2.90e-17   2.73e-17   9.41e-01    NEURON  127      XI5/XI9/XI4/XI7/NET7  
128                      2.89e-17   2.71e-17   9.37e-01    NEURON  128      XI5/XI7/XI2/XI9/NET7  
129                      2.89e-17   2.73e-17   9.44e-01    NEURON  129      XI5/XI9/XI4/XI9/NET7  
130                      2.89e-17   2.72e-17   9.43e-01    NEURON  130      XI5/XI7/XI2/XI8/NET1  
131                      2.89e-17   2.71e-17   9.37e-01    NEURON  131      XI5/XI9/XI4/XI8/NET1  
132                      2.90e-17   2.73e-17   9.42e-01    NEURON  132      XI5/XI7/XI2/XI10/NET7  
133                      2.90e-17   2.74e-17   9.45e-01    NEURON  133      XI5/XI9/XI4/XI10/NET7  
134                      2.89e-17   2.74e-17   9.47e-01    NEURON  134      XI5/XI7/XI2/XI8/NET7  
135                      2.90e-17   2.73e-17   9.41e-01    NEURON  135      XI5/XI9/XI4/XI8/NET7  
136                      2.89e-17   2.77e-17   9.59e-01    NEURON  136      XI5/XI7/XI0/NET13  
137                      2.89e-17   2.71e-17   9.37e-01    NEURON  137      XI5/XI7/XI2/XI10/NET1  
138                      2.89e-17   2.73e-17   9.44e-01    NEURON  138      XI5/XI9/XI4/XI10/NET1  
139                      2.88e-17   2.69e-17   9.34e-01    NEURON  139      XI5/XI7/XI0/NET13  
140                      2.88e-17   2.70e-17   9.37e-01    NEURON  140      XI5/XI7/XI3/XI7/NET1  
141                      2.89e-17   2.71e-17   9.38e-01    NEURON  141      XI5/XI9/XI5/XI7/NET1  
142                      2.90e-17   2.73e-17   9.42e-01    NEURON  142      XI5/XI7/XI3/XI9/NET1  
143                      2.90e-17   2.74e-17   9.46e-01    NEURON  143      XI5/XI9/XI5/XI9/NET1  
144                      2.89e-17   2.70e-17   9.34e-01    NEURON  144      XI5/XI7/XI3/XI7/NET7  
145                      2.90e-17   2.73e-17   9.41e-01    NEURON  145      XI5/XI9/XI5/XI7/NET7  
146                      2.89e-17   2.71e-17   9.37e-01    NEURON  146      XI5/XI7/XI3/XI9/NET7  
147                      2.89e-17   2.73e-17   9.44e-01    NEURON  147      XI5/XI9/XI5/XI9/NET7  
148                      2.88e-17   2.68e-17   9.30e-01    NEURON  148      XI5/XI7/XI3/XI8/NET1  
149                      2.89e-17   2.71e-17   9.37e-01    NEURON  149      XI5/XI9/XI5/XI8/NET1  
150                      2.90e-17   2.73e-17   9.42e-01    NEURON  150      XI5/XI7/XI3/XI10/NET7  
151                      2.90e-17   2.74e-17   9.45e-01    NEURON  151      XI5/XI9/XI5/XI10/NET7  
152                      2.88e-17   2.69e-17   9.37e-01    NEURON  152      XI5/XI7/XI3/XI8/NET7  
153                      2.90e-17   2.73e-17   9.41e-01    NEURON  153      XI5/XI9/XI5/XI8/NET7  
154                      2.89e-17   2.71e-17   9.37e-01    NEURON  154      XI5/XI7/XI3/XI10/NET1  
155                      2.89e-17   2.73e-17   9.43e-01    NEURON  155      XI5/XI9/XI5/XI10/NET1  
156                      2.94e-17   2.80e-17   9.50e-01    NEURON  156      XI6/XI2/NET1  
157                      2.94e-17   2.80e-17   9.53e-01    NEURON  157      XI6/XI1/NET1  
158                      2.92e-17   2.80e-17   9.61e-01    NEURON  158      XI6/XI2/NET1  
159                      2.91e-17   2.80e-17   9.61e-01    NEURON  159      XI6/XI1/NET1  
160                      3.99e-17   3.74e-17   9.37e-01    NEURON  160      XI4/XI5/NET22  
161                      3.99e-17   3.77e-17   9.45e-01    NEURON  161      XI4/XI8/XI0/NET35  
162                      3.99e-17   3.73e-17   9.35e-01    NEURON  162      XI4/XI5/NET22  
163                      3.99e-17   3.78e-17   9.46e-01    NEURON  163      XI4/XI8/XI0/NET35  
164                      3.99e-17   3.74e-17   9.37e-01    NEURON  164      XI5/XI8/NET22  
165                      3.99e-17   3.77e-17   9.45e-01    NEURON  165      XI5/XI7/XI0/NET35  
166                      3.99e-17   3.73e-17   9.35e-01    NEURON  166      XI5/XI8/NET22  
167                      3.99e-17   3.78e-17   9.46e-01    NEURON  167      XI5/XI7/XI0/NET35  
